Generated by GetData Graph Digitizer 2.26.0.20 on July 25 2019, 13:41
from file 'C:\Users\DELL\Desktop\polaires\prec_pol4.JPG'

Line #1
 1.30253164556962e+001    1.90513873867651e+000

Line #2
-4.67088607594937e+000    1.22864946505123e+000
-3.68354430379747e+000    1.28255263327790e+000
-2.84810126582279e+000    1.33502691719914e+000
-1.93670886075949e+000    1.39362756285610e+000
-1.25316455696202e+000    1.44653576972038e+000
-3.41772151898734e-001    1.51438837069091e+000
 5.69620253164556e-001    1.59918793864612e+000
 1.86075949367089e+000    1.72792661384269e+000
 2.84810126582278e+000    1.84048456771983e+000
 3.37974683544304e+000    1.92702695620778e+000
 3.68354430379747e+000    1.98318673940521e+000
 3.75949367088608e+000    2.01192146474594e+000
 3.75949367088608e+000    2.03524435455113e+000
 3.75949367088608e+000    2.05883761136537e+000
 3.75949367088608e+000    2.08270436937658e+000
 3.68354430379747e+000    2.11297350172443e+000
 3.53164556962025e+000    2.14372946591804e+000
 3.37974683544304e+000    2.17493310696738e+000
 3.15189873417722e+000    2.20029013404858e+000
 2.54430379746836e+000    2.24551350104008e+000
 1.78481012658228e+000    2.29176666510147e+000
 3.41772151898732e-001    2.35295396612941e+000
-9.49367088607595e-001    2.38798679010661e+000
-2.08860759493671e+000    2.41646226363987e+000
-3.15189873417722e+000    2.42417774342166e+000
-4.82278481012658e+000    2.41836677662271e+000
