Generated by GetData Graph Digitizer 2.26.0.20 on July 25 2019, 13:37
from file 'C:\Users\DELL\Desktop\polaires\prec_pol3.JPG'

Line #1
 1.36533946293629e+001    1.90379006571111e+000
 1.44905589645443e+001    1.98765053746065e+000
 1.54072371406586e+001    2.13560918718417e+000
 1.60200658998086e+001    2.26833881100725e+000
 1.63247045360377e+001    2.30778346880484e+000
 1.63274668034647e+001    2.35459059290302e+000
 1.60283527020895e+001    2.40917841305247e+000
 1.57280547718170e+001    2.44391012287687e+000
 1.46736578339877e+001    2.50757062210509e+000
 1.42210405856007e+001    2.52188845243319e+000
 1.36168932383639e+001    2.52898662954928e+000
 1.29359943176213e+001    2.51435597731019e+000
 1.19512459799144e+001    2.47121987534091e+000
 1.13423633170886e+001    2.39432380270378e+000
 1.11864925122822e+001    2.31327594438163e+000
 1.13313142473808e+001    2.20953811153690e+000
 1.17784069609139e+001    2.11051335194541e+000
 1.22266835033443e+001    2.03334935565942e+000
 1.32767397352169e+001    1.92017432300126e+000

Line #2
-4.61880709508119e+000    1.22535224914848e+000
-3.02320304638636e+000    1.30537007482794e+000
-2.11007635696387e+000    1.36679546247632e+000
-1.19694966754139e+000    1.43111127815007e+000
-2.08255233510251e-001    1.49846436053441e+000
 4.01022038947970e-001    1.55103174689588e+000
 1.39129491150879e+000    1.64276997327140e+000
 2.68502259140146e+000    1.75502241792233e+000
 4.58921137264961e+000    1.95749265367994e+000
 5.57987885484285e+000    2.07922732348406e+000
 7.10386125525324e+000    2.27944529412163e+000
 7.48604068425310e+000    2.35260093416338e+000
 7.48840834204763e+000    2.39344166998957e+000
 7.49235443837184e+000    2.46309116102654e+000
 6.96929937059764e+000    2.57125397997427e+000
 5.91569165203322e+000    2.65341052442636e+000
 4.33271511157588e+000    2.73021085124618e+000
 2.97565258567962e+000    2.79322432672058e+000
 1.83592131483929e-001    2.87373918382512e+000
-1.62845530059389e+000    2.90639805471337e+000
-4.42446185111379e+000    2.90562116449761e+000
