Generated by GetData Graph Digitizer 2.26.0.20 on July 05 2019, 14:39
from file 'C:\Users\2gouvy\Documents\ENSTA\PRe\stage\05_07\prec_pol1.JPG'

Line #1
 1.37932497074140e+001    1.89889590910460e+000
 1.24950319291824e+001    2.00468769799314e+000
 1.07382592508228e+001    2.17145237221376e+000
 8.75228766897332e+000    2.37909739409947e+000
 6.53617462474374e+000    2.68213479533483e+000
 5.16035283121127e+000    2.90533359251251e+000
 4.70164083793485e+000    2.98947811190087e+000
 4.54784664566855e+000    3.06734659862827e+000
 4.54658990048149e+000    3.13829453002881e+000
 4.54533315529443e+000    3.21088349181447e+000
 4.84805165222719e+000    3.33251131270371e+000
 5.15139852175347e+000    3.41942666233478e+000
 5.91157226677559e+000    3.52883907551005e+000
 7.05316817607000e+000    3.61075622447931e+000
 8.04301210402708e+000    3.65253453279661e+000
 9.49015418692514e+000    3.68437073219902e+000
 1.10134864467886e+001    3.71650465629800e+000
 1.22320579987904e+001    3.74883720031775e+000
 1.37557044449506e+001    3.75997733071509e+000
 1.52795079842593e+001    3.76038677194807e+000
 1.65748980858200e+001    3.75000076769161e+000
 1.76418747496328e+001    3.72890867883248e+000
 1.84802808825493e+001    3.70787466127846e+000
 1.93186870154658e+001    3.68695929235131e+000
 2.00809029714169e+001    3.66614194265731e+000
 2.07672429366993e+001    3.62464211519931e+000
 2.13015167343476e+001    3.56314542689630e+000
 2.19122948952581e+001    3.48274451190753e+000
 2.23710068885346e+001    3.38471607612796e+000
 2.26006770714695e+001    3.31772088057480e+000
 2.27544712637358e+001    3.23349632490516e+000
 2.27560421952197e+001    3.14238079850034e+000
 2.26050756796242e+001    3.06254077744337e+000
 2.23015717169496e+001    2.99324023666358e+000
 2.17701255959721e+001    2.89220286510641e+000
 2.11626463911777e+001    2.78658444814367e+000
 2.05551671863832e+001    2.68482303932386e+000
 2.00234068791090e+001    2.60906894327697e+000
 1.95678367488002e+001    2.53546610437246e+000
 1.90360764415260e+001    2.46392621515777e+000
 1.86563823018859e+001    2.40815828100688e+000
 1.73649195290347e+001    2.24828979774642e+000
 1.60732996630352e+001    2.10504268677960e+000
 1.46292994431048e+001    1.97090093415383e+000
 1.38694398843794e+001    1.89890624754552e+000

Line #2
-4.69739932292853e+000    1.23515994267168e+000
-3.48165544759765e+000    1.31168485776841e+000
-2.41782064675249e+000    1.38104240754342e+000
-1.27810985523866e+000    1.46241152355247e+000
 4.69865606811556e-001    1.58446244458515e+000
 1.91355164044520e+000    1.70200477206210e+000
 3.88946926079819e+000    1.86528689887839e+000
 5.86507269485441e+000    2.05595317035614e+000
 7.15684965400234e+000    2.18959223895238e+000
 8.37227934303645e+000    2.33858017273809e+000
 1.00440646281212e+001    2.53374116927461e+000
 1.17150644474641e+001    2.78470383263490e+000
 1.30814606520937e+001    3.05172196195951e+000
 1.33090886240997e+001    3.10456096197211e+000
 1.33076747857642e+001    3.18546175725889e+000
 1.27712016840386e+001    3.37274077264096e+000
 1.23894653334695e+001    3.42119571974098e+000
 1.17790013588557e+001    3.48022353575373e+000
 1.08640908626770e+001    3.52001236921295e+000
 1.02540981675084e+001    3.55017156719000e+000
 9.56791529537439e+000    3.58056967265203e+000
 8.72919497616111e+000    3.62152546438504e+000
 7.81444157313079e+000    3.65247487533812e+000
 7.35714341818982e+000    3.66281012645275e+000
 6.21366239111481e+000    3.70462593364246e+000
 4.84176792629189e+000    3.73616346810535e+000
 3.92717161640995e+000    3.75733750566685e+000
 2.86035204574553e+000    3.76780536995335e+000
 1.56480485103642e+000    3.78905558461618e+000
 6.50365634302862e-001    3.79965318850621e+000
 1.93224572510271e-001    3.79952906877557e+000
-2.63916489282320e-001    3.79940495309943e+000
-1.48295932072923e+000    3.79907399778407e+000
-2.62581197521070e+000    3.79876375335817e+000
-3.76866462969218e+000    3.79845353426781e+000
-4.68294675327735e+000    3.79820537723573e+000
