Generated by GetData Graph Digitizer 2.26.0.20 on June 20 2019, 11:33
from file 'C:\Users\2gouvy\Documents\ENSTA\PRe\stage\11_06\frontieres_systs_CO2_to_CH4.JPG'

Line #1
 6.49425942916656e+001    6.70667294864483e-001
 6.39470247394219e+001    6.25098155908779e-001
 6.33769765500368e+001    5.90910969491077e-001
 6.26629388085733e+001    5.37720799133748e-001
 6.22331192501302e+001    4.95920847075161e-001
 6.19440655970772e+001    4.50310379315760e-001
 6.17941660260702e+001    3.89482646035328e-001
 6.19295591869798e+001    3.47649630933783e-001
 6.23437977864293e+001    2.79184334730247e-001
 6.29025632124053e+001    2.33524272406411e-001
 6.34629404617254e+001    1.99270959902795e-001
 6.43048495218257e+001    1.57396615997553e-001
 6.54293649416024e+001    1.15505740570833e-001
 6.66957208156653e+001    7.74088493234475e-002
 6.81039171440143e+001    4.31059422553955e-002
 6.97941825575917e+001    4.98425372579165e-003
